,PlayerID,SeasonID,MatchID,Date,HomeAway,WinLoss,PlayerStyle,PlayerLR,OppStyle,OppLR,PlayerSets,OppSets,GameID,PlayerGames,OppGames,Server,PointID,PlayerPoints,OppPoints,ServeResult,ServeLocation,ReturnLocation,Result,PointWinner,FinalShotType,FinalForeBack,FinalCrossLine,PenumltimateShotType,PenumltimateForeBack,PenumltimateCrossLine,NetPlay,PointLength,ErrorPosition,Comments
37,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,5,1,P,-,1,1,F,C,C,W,p,T,F,L,-,-,-,-,S,,
38,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,5,1,P,-,2,1,S,W,L,U,p,T,F,C,-,-,-,-,S,L,
39,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,5,1,P,-,3,1,F,C,C,W,p,T,F,C,-,-,-,-,S,,
40,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,1,0,-,0,0,P,-,0,0,F,C,L,F,p,O,B,C,-,-,-,-,M,L,
41,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,1,0,-,0,0,P,-,1,0,F,C,C,W,p,T,F,C,-,-,-,-,M,,
42,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,1,0,-,0,0,P,-,2,0,F,B,C,W,p,T,B,C,-,-,-,-,S,,
43,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,1,0,-,0,0,P,-,3,0,F,W,L,U,p,T,F,C,-,-,-,-,S,,
44,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,1,0,-,1,0,O,-,0,0,S,W,C,U,p,T,B,L,-,-,-,-,S,L,
45,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,1,0,-,1,0,O,-,1,0,F,W,L,U,p,T,F,C,-,-,-,-,S,N,
46,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,1,0,-,1,0,O,-,2,0,F,C,L,W,p,T,B,C,-,-,-,-,M,,
47,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,1,0,-,1,0,O,-,3,0,F,W,C,F,p,T,F,L,-,-,-,-,S,,
